SHIPMENT_NUMBER,CARRIER_ID,VEHICLE_SIZE,VEHICLE_BUILD_UP,FIRST_COLLECTION_POST_CODE,LAST_DELIVERY_POST_CODE,FIRST_COLLECTION_LATITUDE,FIRST_COLLECTION_LONGITUDE,LAST_DELIVERY_LATITUDE,LAST_DELIVERY_LONGITUDE,FIRST_COLLECTION_SCHEDULE_EARLIEST,FIRST_COLLECTION_SCHEDULE_LATEST,LAST_DELIVERY_SCHEDULE_EARLIEST,LAST_DELIVERY_SCHEDULE_LATEST,on_time_estimation
SEZHUK-230918-245388,CAUK000250,Tractor Unit,Curtain-Side 13.6M Trailer,S80 3FY,MITCHELSTOWN,53.293393,-1.074008,52.276579,-8.258109,2023-10-09 00:00:00+00:00,2023-10-09 23:59:00+00:00,2023-10-10 11:25:00+00:00,2023-10-10 11:55:00+00:00,False
SEZHUK-230919-245487,CAUK000863,Tractor Unit,Curtain-Side 13.6M Trailer,NG13 0EP,S43 3FG,53.700876,-1.417148,53.258602,-1.320728,2023-11-30 09:30:00+00:00,2023-11-30 10:00:00+00:00,2023-11-30 15:30:00+00:00,2023-11-30 16:00:00+00:00,True
SEZHUK-230919-245488,CAUK000863,Tractor Unit,Curtain-Side 13.6M Trailer,NG13 0EP,S43 3FG,53.700876,-1.417148,53.258602,-1.320728,2023-10-12 09:30:00+00:00,2023-10-12 10:00:00+00:00,2023-10-12 15:30:00+00:00,2023-10-12 16:00:00+00:00,True
SEZHUK-230919-245489,CAUK000863,Tractor Unit,Curtain-Side 13.6M Trailer,NG13 0EP,S43 3FG,53.700876,-1.417148,53.258602,-1.320728,2023-11-09 11:00:00+00:00,2023-11-09 13:00:00+00:00,2023-11-09 17:00:00+00:00,2023-11-09 19:00:00+00:00,True
SEZHUK-230919-245490,CAUK000863,Tractor Unit,Curtain-Side 13.6M Trailer,NG13 0EP,S43 3FG,53.700876,-1.417148,53.258602,-1.320728,2023-11-02 11:00:00+00:00,2023-11-02 13:00:00+00:00,2023-11-02 17:00:00+00:00,2023-11-02 19:00:00+00:00,True
SEZHUK-230919-245491,CAUK000863,Tractor Unit,Curtain-Side 13.6M Trailer,NG13 0EP,S43 3FG,53.700876,-1.417148,53.258602,-1.320728,2023-10-26 11:00:00+00:00,2023-10-26 13:00:00+00:00,2023-10-26 17:00:00+00:00,2023-10-26 19:00:00+00:00,True
SEZHUK-230919-245493,CAUK000863,Tractor Unit,Curtain-Side 13.6M Trailer,NG13 0EP,S43 3FG,53.700876,-1.417148,53.258602,-1.320728,2023-11-16 11:00:00+00:00,2023-11-16 13:00:00+00:00,2023-11-16 17:00:00+00:00,2023-11-16 19:00:00+00:00,True
SEZHUK-230919-245494,CAUK000863,Tractor Unit,Curtain-Side 13.6M Trailer,NG13 0EP,S43 3FG,53.700876,-1.417148,53.258602,-1.320728,2023-10-05 09:30:00+00:00,2023-10-05 10:00:00+00:00,2023-10-05 15:30:00+00:00,2023-10-05 16:00:00+00:00,True
SEZHUK-230919-245495,CAUK000863,Tractor Unit,Curtain-Side 13.6M Trailer,NG13 0EP,S43 3FG,53.700876,-1.417148,53.258602,-1.320728,2023-11-23 11:00:00+00:00,2023-11-23 13:00:00+00:00,2023-11-23 17:00:00+00:00,2023-11-23 19:00:00+00:00,True
SEZHUK-230919-245496,CAUK000863,Tractor Unit,Curtain-Side 13.6M Trailer,NG13 0EP,S43 3FG,53.700876,-1.417148,53.258602,-1.320728,2023-10-19 11:00:00+00:00,2023-10-19 13:00:00+00:00,2023-10-19 17:00:00+00:00,2023-10-19 19:00:00+00:00,True
SEZHUK-230921-246294,CAUK000912,3.5 T Van,Box,S35 2PW,LS27 0FU,53.476793,-1.471546,53.734398,-1.604189,2023-10-01 03:15:00+00:00,2023-10-01 03:45:00+00:00,2023-10-01 05:00:00+00:00,2023-10-01 05:30:00+00:00,True
SEZHUK-230922-246664,CAUK000155,Tractor Unit,Curtain Side,CV23 8BQ,G75 0ZZ,52.334853,-1.18045,55.735089,-4.168719,2023-10-25 16:00:00+00:00,2023-10-25 17:00:00+00:00,2023-10-25 23:00:00+00:00,2023-10-25 23:59:00+00:00,False
